facility_id,prison_name,state,ac_status,ac_status_details,address,building_completion_year,notes
10001984,Byrd,TX,No,None,"21 FM 247, Huntsville, TX 77320",1964,
10000243,Clemens,TX,No,None,"11034 Hwy 36, Brazoria, TX 77422",1893,
10000154,Clements,TX,Yes,Partial,"9601 Spur 591, Amarillo, TX 79107-9606",1990,
10000187,Coffield,TX,No,None,"2661 FM 2054. Tennessee Colony, TX 75884",1965,
10002905,Connally,TX,Yes,Partial,"899 FM 632, Kenedy, TX 78119",1995,
10002920,Cotulla,TX,Yes,Full,"610 FM 624, Cotulla, TX 78014",1992,
10001275,Crain,TX,Yes,Partial,"1401 State School Road, Gatesville, TX 76599-2999",1980,
10000151,Dalhart,TX,Yes,Partial,"11950 FM 998, Dalhart, TX 79022",1995,
10000174,Daniel,TX,Yes,Partial,"938 South FM 1673, Snyder, TX 79549",1989,
10000212,Ellis,TX,No,None,"1697 FM 980, Huntsville, TX 77343",1965,
10000215,Estelle,TX,Yes,Partial,"264 FM 3478, Huntsville, TX 77320-3320",1984,
10000206,Ferguson,TX,No,None,"12120 Savage Drive, Midway, TX 75852",1962,
10000200,Fort Stockton,TX,Yes,Full,"1536 IH-10 East Fort Stockton, TX 79735",1992,
10002916,Garza West,TX,Yes,Partial,"4250 Highway 202, Beeville, TX 78102",1994,
10000204,Goodman,TX,Yes,Partial,"349 Private Road 8430, Jasper, TX 75951",1995,
10000213,Goree,TX,No,None,"7405 Hwy 75 South, Huntsville, TX 77344",1907,
10000224,Hightower,TX,No,None,"902 FM 686, Dayton, TX 77535",1990,
10002817,Hilltop,TX,Yes,Partial,"1500 State School Road, Gatesville, TX 76598-2996",1981,
10002827,Hobby,TX,Yes,Partial,"742 FM 712, Marlin, TX 76661",1989,
10000209,Holliday,TX,Yes,Partial,"295 IH-45 North, Huntsville, TX 77320-8443",1994,
10000196,Hughes,TX,Yes,Partial,"3201 FM 929, Gatesville, TX 76597",1990,
10000210,Huntsville,TX,No,None,"815 12th Street, Huntsville, TX 77348",1849,
10000234,Jester III,TX,Yes,Partial,"3 Jester Road, Richmond, TX 77406",1982,
10000152,Jordan,TX,Yes,Partial,"1992 Helton Road, Pampa, TX 79065",1992,
10000208,Lewis,TX,Yes,Partial,"777 FM 3497, Woodville, TX 75990",1990,
10000220,Luther,TX,Yes,Partial,"1800 Luther Drive, Navasota, TX 77868",1982,
10000203,Lynaugh,TX,Yes,Partial,"1098 South Highway 2037, Fort Stockton, TX 79735",1995,
10002828,Marlin,TX,Yes,Full,"2893 State Hwy 6, Marlin, TX 76661-6588",1992,
10000248,McConnell,TX,Yes,Partial,"3001 South Emily Drive, Beeville, TX 78102",1992,
10000155,Mechler,TX,Yes,Full,"4000 Highway 86 West, Tulia, TX 79088",1992,
10000246,Memorial,TX,No,None,"59 Darrington Road, Rosharon, TX 77583",1917,
10000186,Michael,TX,Yes,Partial,"2664 FM 2054, Tennessee Colony, TX 75886",1987,
10000176,Middleton,TX,Yes,Partial,"13055 FM 3522, Abilene, TX 79601",1994,
10002725,"Moore, C.",TX,Yes,Partial,"1700 North FM 87, Bonham, TX 75418",1995,
10001274,Murray,TX,Yes,Partial,"1916 North Hwy 36 Bypass, Gatesville, TX 76596",1995,
10000238,Ney,TX,Yes,Full,"114 Private Road 4303, Hondo, TX 78861-3812",1995,
10000194,O'Daniel,TX,Yes,Partial,"2305 Ransom Road, Gatesville, TX 76528",1975,
10002838,Pack,TX,Yes,Full,"2400 Wallace Pack Road, Navasota, TX 77868",1983,
10000205,Polunsky,TX,Yes,Partial,"3872 FM 350 South, Livingston, TX 77351",1993,
10000185,Powledge,TX,Yes,Partial,"1400 FM 3452, Palestine, TX 75803",1982,
10000242,Ramsey,TX,No,None,"1100 FM 655, Rosharon, TX 77583",1908,
10000156,Roach,TX,Yes,Partial,"15845 FM 164, Childress, TX 79201",1991,
10000175,Robertson,TX,Yes,Partial,"12071 FM 3522, Abilene, TX 79601",1992,
10000199,San Saba,TX,Yes,Full,"206 South Wallace Creek Road, San Saba, TX 76877",1992,
10002758,Smith,TX,Yes,Partial,"1313 CR 19, Lamesa, TX 79331-1898",1992,
10002900,Stevenson,TX,Yes,Partial,"1525 FM 766, Cuero, TX 77954",1994,
10000229,Stiles,TX,Yes,Partial,"3060 FM 3514, Beaumont, TX 77705",1993,
10000244,Stringfellow,TX,No,None,"1200 FM 655, Rosharon, TX 77583",1908,
10002731,Telford,TX,Yes,Partial,"3899 Hwy 98, New Boston, TX 75570",1995,
10000241,Terrell,TX,Yes,Partial,"1300 FM 655, Rosharon, TX 77583",1983,
10000237,Torres,TX,Yes,Partial,"125 Private Road 4303, Hondo, TX 78861",1993,
10002885,Vance,TX,No,None,"2 Jester Road, Richmond, TX 77406",1885,
10002822,Wainwright,TX,No,None,"2665 Prison Road #1, Lovelady, TX 75851",1917,
10000180,Wallace/San Angelo Work Camp,TX,Yes,Partial,"1675 South FM 3525, Colorado City, TX 79512",1994,
10000211,Wynne,TX,No,None,"810 FM 2821, Huntsville, TX 77349",1883,
New facility - opened in 2022,Utah State Correctional Facility,UT,Yes,Full,"1480 N. 8000 W. Salt Lake City, Utah 84116",2022,"Air conditioning type is Indirect, Direct, and DX"
10002617,Central Utah Correctional Facility ,UT,Yes,Full,"255 E. 300 North, Gunnison, UT 84634",1989,Different types of air conditioning has been added since the building completion. Additional building units have been added over the years.
10000092,Caledonia Community Work Camp,VT,No,None,"1266 US Route 5, St. Johnsbury, VT",1993,"AC only in Building A: Admin offices, classrooms"
10001914,Chittenden Regional Correctional Facility,VT,Yes,Full,"7 Farrell St, South Burlington, VT 05403",1974,"Entire facility, except dining room."
10000095,Marble Valley Regional Correctional Facility,VT,Yes,Full,"67 State St, Rutland, VT 05701",1979,"Entire facility, except multi-purpose room across from the gym, used for storage"
10001918,Northeast Regional Correctional Facility,VT,No,None,"1270 US-5, St Johnsbury, VT 05819",1982,"AC not in housing units. AC in Main Building: Admin area, visiting, library, medical, main control, security server room. AC in Education Building: Entire building, except storage room. Additional construction in 1984."
10001913,Northern State Correctional Facility,VT,No,None,"2559 Glen RdNewport, VT 05855",1993,"AC in VCI 1: supervisor’s office. VCI 2: supervisor’s office, drafting room. AC in Echo Building: Second floor offices, group room, conference room. AC in A2 Building: Server room, main control, medical, dental. AC in A1 Building: Admin offices, staff break room. Additional construction in 1997, 1999"
10001116,Northwest State Correctional Facility,VT,Yes,Partial,"3649 Lower Newton Rd, St. Albans Town, VT 05478",1967,"I &J Building: Training rooms. Silva Building: Entire building, except library. Main Building: medical, staff break room, Admin area, admin conference room. Additional construction in 1973"
10000094,Southern State Correctional Facility,VT,No,None,"700 Charlestown Rd, Springfield, VT 05156
",2003,"AC in Core building: training/conference room, electrical room, main control, main control server room, medical. AC in DEF building: Foxtrot control room."
10001677,Airway Heights Corrections Center,WA,Yes,Full,"11919 Sprague Ave, Airway Heights, WA 99001",1993,
10000987,Clallam Bay Corrections Center,WA,No,None,"1830 Eagle Crest Way, Clallam Bay, WA 98326",1986,
10002491,Cedar Creek Corrections Center,WA,No,None,"12200 Bordeaux Road, Littlerock, WA 98556",1998,
10001687,Coyote Ridge Corrections Center,WA,Yes,Full,"1301 N Ephrata Ave, Connell, WA 99326",2009,
10001676,Monroe Correctional Complex,WA,Yes,Partial,"16550 177th Avenue SE, Monroe, WA 98272",1981,
10002479,Mission Creek Corrections Center for Women,WA,Yes,Full,"3420 NE Sand Hill Road, Belfair, WA 98528",1960,
10002455,Olympic Corrections Center,WA,No,None,"11235 Hoh Mainline, Forks, WA 98331",1967,
10001681,Stafford Creek Corrections Center ,WA,Yes,Partial,"191 Constantine Way, Aberdeen, WA 98520",2000,
10001679,Washington Corrections Center ,WA,No,None,"2321 West Dayton Airport Road, Shelton, WA 98584",1964,
10001684,Washington Corrections Center for Women,WA,Yes,Partial,"9601 Bujacich Rd. NW, Gig Harbor, WA 98332",1976,
10002506,Washington State Penitentiary,WA,Yes,Full,"1313 North 13th Avenue, Walla Walla, WA 99362",1932,
10000053,Wyoming Medium Correctional Institution (WMCI) ,WY,Yes,Full,"7076 Road 55F Torrington, WY 82240",2009,"For the Admin, Programing & Housing Building"
10000056,Wyoming Women’s Center (WWC),WY,Yes,Full,"1000 W Griffith Street Lusk, WY 82225",1984,Mother/Child was remodeled in 2012
10000057,Wyoming State Penitentiary (WSP),WY,Yes,Full,"2900 S Higley Road Roawlins, WY 82301",2001,Inmate housing (K unit) was built in 2006
10000053,WHCC Wyoming Honor Conservation Camp,WY,Yes,Full,"40 Pippin Road Newcastle, WY 82701",1999,Boot Camp Building (Barracks) was built in 2000 and Dorm C was built in 2006. All have air conditioning 
10000055,Wyoming Honor Farm (WHF),WY,Yes,Full,"40 Honor Farm Road Riverton, WY 82501",1986,"Dorm C was built in 1986, but Dorm A was completed in 1996, Dorm B in 1994, and Dorm D in 2005"
