FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,SECURELVL,degx,degy,EBF_PFS,PM25F_PFS,TPF,EB_ET,PM25_ET,TC,CC,N_ENY_EOMI,N_PLN_EOMI,washu_mean,pm25_et_wa,pm25_2019,thresh_dif
"1702","10000696",DIXON SPRINGS IMPACT INCARCERATION PROGRAM,6695 STATE ROUTE 146 EAST,VIENNA,IL,"62995","-999",(618) 949-3311,STATE,OPEN,"33",JOHNSON,"17087",USA,MINIMUM,-88.768955,37.403282,0.000000000000000,0.670000000000000,2225.000000000000000,"0","0","6",3.000000000000000,"0","0",6.633333365122478,"0",6.750000000000000,
"1704","10001722",ENID COMMUNITY CORRECTIONS CENTER,2020 E MAINE AVE,ENID,OK,"73701","6445",(580) 977-3800,STATE,OPEN,"95",GARFIELD,"40047",USA,MINIMUM,-97.847842,36.395702,0.660000000000000,0.630000000000000,6493.000000000000000,"0","0","3",3.000000000000000,"0","1",7.046464650317876,"0",7.300000190734860,
"1705","10001519",SOUTH WOODS STATE PRISON,215 S BURLINGTON RD,BRIDGETON,NJ,"08302","-999",(856) 459-7000,STATE,OPEN,"3333",CUMBERLAND,"34011",USA,MEDIUM,-75.207672,39.413086,,0.270000000000000,1663.000000000000000,"0","0","1",1.000000000000000,"0","0",6.186689603545770,"0",6.149999856948850,
"1706","10002225",ARROWHEAD CORRECTIONAL CENTER,E. US HIGHWAY 50 AND EVANS BLVD,CANON CITY,CO,"81212","-999",(719) 269-5601,STATE,OPEN,"521",FREMONT,"08043",USA,MINIMUM,-105.159096,38.436103,,0.010000000000000,5952.000000000000000,"0","0","1",1.000000000000000,"0","0",4.778571503502982,"0",4.850000143051150,
"1710","10002629",CLARA WATERS COMMUNITY CORRECTIONS CENTER,9901 N I-35 SERVICE RD,OKLAHOMA CITY,OK,"73131","5228",(405) 254-3200,STATE,OPEN,"297",OKLAHOMA,"40109",USA,MINIMUM,-97.449129,35.571969,0.100000000000000,0.800000000000000,4376.000000000000000,"0","0","0",0.000000000000000,"0","0",7.523076901069056,"0",7.699999809265140,
"1711","10000983",SOUTHEASTERN CORRECTIONAL COMPLEX - LANCASTER,5900 BIS ROAD SW,LANCASTER,OH,"43130","-999",(740) 653-4324,STATE,OPEN,"-999",FAIRFIELD,"39045",USA,MEDIUM,-82.625700,39.641815,0.700000000000000,0.470000000000000,6906.000000000000000,"0","0","0",0.000000000000000,"0","0",7.406666723887126,"0",7.400000095367430,
"1722","10002689",TRENTON CORRECTIONAL INSTITUTION,84 GREENHOUSE RD,TRENTON,SC,"29847","-999",(803) 896-3000,STATE,OPEN,"594",EDGEFIELD,"45037",USA,MEDIUM,-81.840691,33.713915,0.680000000000000,0.470000000000000,3331.000000000000000,"0","0","2",2.000000000000000,"0","0",6.651968512948104,"0",7.049999952316280,
"1723","10003580",MABEL BASSETT CORRECTIONAL CENTER,29501 KICKAPOO RD,MCLOUD,OK,"74851","8339",(405) 964-3020,STATE,OPEN,"1271",POTTAWATOMIE,"40125",USA,MAXIMUM,-97.131048,35.444183,0.630000000000000,0.750000000000000,8715.000000000000000,"0","0","0",0.000000000000000,"0","0",6.650000021375460,"0",6.800000190734860,
"1727","10003585",JACKIE BRANNON CORRECTIONAL CENTER,900 N WEST ST,MCALESTER,OK,"74502","1999",(918) 421-3339,STATE,OPEN,"720",PITTSBURG,"40121",USA,MINIMUM,-95.783421,34.943439,0.460000000000000,0.720000000000000,1412.000000000000000,"0","0","2",2.000000000000000,"0","0",7.122222211625842,"0",7.300000190734860,
"1728","10003584",OKLAHOMA STATE PENITENTIARY,1301 N WEST ST,MCALESTER,OK,"74502","0097",(918) 423-4700,STATE,OPEN,"644",PITTSBURG,"40121",USA,MAXIMUM,-95.783118,34.954756,0.460000000000000,0.720000000000000,1412.000000000000000,"0","0","2",2.000000000000000,"0","0",7.122222211625842,"0",6.900000095367430,
"1744","10003387",EASTERN OHIO CORRECTION CENTER - FEMALE CENTER,227 N MARKET ST,LISBON,OH,"44432","-999",(330) 420-0288,STATE,OPEN,"33",COLUMBIANA,"39029",USA,MEDIUM,-80.768473,40.774275,0.770000000000000,0.510000000000000,4502.000000000000000,"0","0","2",2.000000000000000,"0","1",7.597872277523610,"0",7.900000095367430,
"1746","10000195",WOODMAN STATE JAIL,1210 CORYELL CITY RD,GATESVILLE,TX,"76528","-999",(254) 865-9398,STATE,OPEN,"6478",CORYELL,"48099",USA,MAXIMUM,-97.729909,31.459969,0.440000000000000,0.570000000000000,7878.000000000000000,"0","0","0",0.000000000000000,"0","0",5.580000019073486,"0",5.850000143051150,
"1762","10000770",FCI FORT DIX,5756 HARTFORD & POINTVILE RD,FORT DIX,NJ,"08640","-999",(609) 723-1100,FEDERAL,OPEN,"3114",BURLINGTON,"34005",USA,MINIMUM,-74.614538,39.999630,0.100000000000000,0.270000000000000,5363.000000000000000,"0","0","1",1.000000000000000,"0","1",5.829411731046790,"0",6.050000071525570,
"1774","10000244",STRINGFELLOW PRISON,1200 FM 655,ROSHARON,TX,"77583","-999",(281) 595-3413,STATE,OPEN,"1094",BRAZORIA,"48039",USA,MAXIMUM,-95.547300,29.285806,0.460000000000000,0.770000000000000,15144.000000000000000,"0","0","0",0.000000000000000,"0","0",6.240701762416906,"0",6.300000190734860,
"1776","10000237",TORRES PRISON,125 PRIVATE RD 4303,HONDO,TX,"78861","-999",(830) 426-5325,STATE,OPEN,"1360",MEDINA,"48325",USA,MEDIUM,-99.196148,29.351890,0.000000000000000,0.520000000000000,8046.000000000000000,"0","0","0",0.000000000000000,"0","1",6.516555414339888,"0",7.099999904632570,
"1780","10000160",RUDD TRANSFER FACILITY,2004 LAMESA HWY,BROWNFIELD,TX,"79316","-999",(806) 637-4470,STATE,OPEN,"136",TERRY,"48445",USA,MEDIUM,-102.280220,33.158200,0.680000000000000,0.190000000000000,2648.000000000000000,"0","0","4",3.000000000000000,"0","0",5.538888851801556,"0",5.299999952316280,
"1781","10000211",WYNNE PRISON,810 FM 2821 W,HUNTSVILLE,TX,"77349","-999",(936) 295-9126,STATE,OPEN,"2591",WALKER,"48471",USA,MAXIMUM,-95.576807,30.741243,0.540000000000000,0.740000000000000,12013.000000000000000,"0","0","0",0.000000000000000,"0","0",6.794083974743618,"0",7.599999904632570,
"1785","10000180",WALLACE UNIT,1675 S FM 3525,COLORADO CITY,TX,"79512","-999",(325) 728-2162,STATE,OPEN,"1121",MITCHELL,"48335",USA,MEDIUM,-100.880095,32.399296,0.870000000000000,0.220000000000000,6680.000000000000000,"0","0","0",0.000000000000000,"0","0",4.853783775020290,"0",5.450000047683720,
"1798","10001867",COUNCIL BLUFFS RESIDENTIAL CORRECTIONAL FACILITY,900 9TH AVENUE,COUNCIL BLUFFS,IA,"51501","-999",(712) 396-2245,STATE,OPEN,"71",POTTAWATTAMIE,"19155",USA,NOT AVAILABLE,-95.858334,41.253612,0.610000000000000,0.490000000000000,2976.000000000000000,"0","0","5",4.000000000000000,"0","1",7.166666507720948,"0",7.199999809265140,
"1802","10004580",FLORIDA STATE PRISON,7819 N.W. 228TH STREET,RAIFORD,FL,"32026","1000",(904) 368-2500,STATE,OPEN,"1240",BRADFORD,"12007",USA,MAXIMUM,-82.185337,30.059537,0.630000000000000,0.230000000000000,8677.000000000000000,"0","0","1",1.000000000000000,"0","0",6.607692308914968,"0",7.199999809265140,
"1840","10001875",HUTTONSVILLE CORRECTIONAL CENTER,"US HWY 250 S, P.O. BOX 1",HUTTONSVILLE,WV,"26273","-999",(304) 335-2291,STATE,OPEN,"1131",RANDOLPH,"54083",USA,MAXIMUM,-79.979708,38.694495,0.890000000000000,0.050000000000000,4492.000000000000000,"0","0","4",4.000000000000000,"0","1",6.127263402252042,"0",6.649999856948850,
"1842","10000157",LINDSEY STATE JAIL,1620 FM 3344,JACKSBORO,TX,"76458","-999",(940) 567-2272,STATE,OPEN,"916",JACK,"48237",USA,CLOSE,-98.153235,33.247323,0.750000000000000,0.380000000000000,3070.000000000000000,"0","0","0",0.000000000000000,"0","0",5.279401531962778,"0",5.599999904632570,
"1847","10001061",PENDLETON CORRECTIONAL FACILITY,4490 W REFORMATORY RD,PENDLETON,IN,"46064","9001",(765) 778-2107,STATE,OPEN,"1800",MADISON,"18095",USA,MAXIMUM,-85.760857,39.983381,0.960000000000000,0.620000000000000,3116.000000000000000,"1","0","2",2.000000000000000,"1","0",8.679999923706054,"0",8.650000095367430,
"1867","10001873",OHIO COUNTY CORRECTIONAL CENTER,1501 EOFF ST,WHEELING,WV,"26003","-999",(304) 238-1007,STATE,OPEN,"66",OHIO,"54069",USA,MINIMUM,-80.720108,40.064841,0.980000000000000,0.350000000000000,664.000000000000000,"1","0","13",8.000000000000000,"1","1",8.199999809265138,"0",8.199999809265140,
"1874","10000438",LOWELL ANNEX,11120 NW GAINESVILLE RD,OCALA,FL,"34482","1479",(352) 690-8900,STATE,OPEN,"1262",MARION,"12083",USA,MAXIMUM,-82.201341,29.313490,0.590000000000000,0.180000000000000,7997.000000000000000,"0","0","0",0.000000000000000,"0","0",6.456060626290062,"0",6.450000047683720,
"1884","10006374",HARRISBURG CCC,27 NORTH CAMERON STREET,HARRISBURG,PA,"17101","-999",(717) 787-4427,STATE,OPEN,"0",DAUPHIN,"42043",USA,MINIMUM,-76.874642,40.265681,0.970000000000000,0.630000000000000,2558.000000000000000,"1","0","11",7.000000000000000,"1","1",8.399667519759982,"0",8.500000000000000,
"1895","10000393",COLUMBIA WORK CAMP,216 SE CORRECTIONS WAY,LAKE CITY,FL,"32025","2013",(386) 754-7600,STATE,OPEN,"288",COLUMBIA,"12023",USA,MINIMUM,-82.504801,30.190557,0.700000000000000,0.210000000000000,9262.000000000000000,"0","0","2",2.000000000000000,"0","1",6.959601266686840,"0",7.200000047683720,
"1914","10001507",BRONX COMMUNITY RE-ENTRY CENTER,2534 CRESTON AVE,BRONX,NY,"10468","-999",(718) 561-4155,FEDERAL,OPEN,"-999",BRONX,"36005",USA,MINIMUM,-73.897289,40.863553,0.810000000000000,0.670000000000000,4478.000000000000000,"0","0","10",5.000000000000000,"0","1",7.194711257883418,"0",7.199999809265140,
"1967","10003134",ADIRONDACK CORRECTIONAL FACILITY,196 RAY BROOK RD,RAY BROOK,NY,"12977","0110",(518) 891-1343,STATE,OPEN,"398",ESSEX,"36031",USA,MEDIUM,-74.091477,44.295981,0.570000000000000,0.020000000000000,5934.000000000000000,"0","0","0",0.000000000000000,"0","0",4.341988985051108,"0",4.549999952316280,
"1979","10003136",MORIAH SHOCK INCARCERATION CORRECTIONAL FACILITY,75 BURHART LANE,MINEVILLE,NY,"12956","0999",(518) 942-7561,STATE,OPEN,"187",ESSEX,"36031",USA,MINIMUM,-73.533249,44.107500,0.840000000000000,0.050000000000000,4588.000000000000000,"0","0","0",0.000000000000000,"0","0",4.769117684925304,"0",4.800000190734860,
"1980","10002287",ATTICA CORRECTIONAL FACILITY,639 EXCHANGE ST,ATTICA,NY,"14011","0149",(585) 591-2000,STATE,OPEN,"2009",WYOMING,"36121",USA,MAXIMUM,-78.271301,42.849637,0.570000000000000,0.100000000000000,7117.000000000000000,"0","0","0",0.000000000000000,"0","0",5.431481533580358,"0",5.350000143051150,
"1981","10003165",WENDE CORRECTIONAL FACILITY,3040 WENDE RD,ALDEN,NY,"14004","1187",(716) 937-4000,STATE,OPEN,"872",ERIE,"36029",USA,MAXIMUM,-78.542542,42.931001,,0.190000000000000,1670.000000000000000,"0","0","0",0.000000000000000,"0","0",5.375000119209290,"0",5.350000143051150,
"1982","10003192",ELMIRA CORRECTIONAL FACILITY,1879 DAVIS ST,ELMIRA,NY,"14901","0500",(607) 734-3901,STATE,OPEN,"1800",CHEMUNG,"36015",USA,MAXIMUM,-76.831292,42.114838,,0.030000000000000,1785.000000000000000,"0","0","2",2.000000000000000,"0","1",6.208914797570612,"0",6.199999809265140,
"1983","10003193",SOUTHPORT CORRECTIONAL FACILITY,236 BOB MASIA DR,PINE CITY,NY,"14871","2000",(607) 737-0850,STATE,OPEN,"486",CHEMUNG,"36015",USA,MAXIMUM,-76.796022,42.050727,0.460000000000000,0.030000000000000,4625.000000000000000,"0","0","0",0.000000000000000,"0","0",6.082352929956774,"0",6.433333396911620,
"1985","10003156",HALE CREEK ASACTC,279 MALONEY RD,JOHNSTOWN,NY,"12095","3769",(518) 736-2094,STATE,OPEN,"367",FULTON,"36035",USA,MEDIUM,-74.298360,43.013675,0.660000000000000,0.070000000000000,7373.000000000000000,"0","0","0",0.000000000000000,"0","0",5.456807535019280,"0",5.450000047683720,
"2000","10003130",UPSTATE CORRECTIONAL FACILITY,309 BARE HILL RD,MALONE,NY,"12953","-999",(518) 483-6997,STATE,OPEN,"1221",FRANKLIN,"36033",USA,MAXIMUM,-74.324793,44.886719,0.750000000000000,0.060000000000000,5745.000000000000000,"0","0","0",0.000000000000000,"0","0",4.785937462002040,"0",5.199999809265140,
"2013","10001821",WILKINSON COUNTY CORRECTIONAL FACILITY,2999 US HWY 61 N,WOODVILLE,MS,"39669","-999",(601) 888-3199,STATE,OPEN,"904",WILKINSON,"28157",USA,CLOSE,-91.277349,31.138301,0.990000000000000,0.520000000000000,5073.000000000000000,"1","0","5",4.000000000000000,"1","0",6.910229665999124,"0",6.800000190734860,
"2023","10004447",FMC DEVENS CAMP,42 PATTON ROAD,DEVENS,MA,"01434","-999",(978) 796-1000,FEDERAL,OPEN,"102",WORCESTER,"25027",USA,MINIMUM,-71.620579,42.528228,0.460000000000000,0.050000000000000,6569.000000000000000,"0","0","0",0.000000000000000,"0","1",5.314102582442454,"0",5.400000095367430,
"2030","10001404",MASAC AT PLYMOUTH,1 BUMP POND RD,PLYMOUTH,MA,"02360","-999",(508) 291-2441,STATE,OPEN,"262",PLYMOUTH,"25023",USA,MINIMUM,-70.660555,41.849541,0.660000000000000,0.070000000000000,6614.000000000000000,"0","0","0",0.000000000000000,"0","0",5.298290664314206,"0",5.475000023841860,
"2033","10001601",DEERFIELD WORK CENTER FOR WOMEN,15080 OLD BELFIELD RD,CAPRON,VA,"23829","-999",(434) 658-4368,STATE,OPEN,"154",SOUTHAMPTON,"51175",USA,MINIMUM,-77.251408,36.722693,,0.130000000000000,1280.000000000000000,"0","0","5",3.000000000000000,"0","0",6.199999982660468,"0",6.199999809265140,
"2036","10003308",WISE CORRECTIONAL UNIT,3602 BEAR LANE,COEBURN,VA,"24230","1198",(276) 679-9204,STATE,OPEN,"110",WISE,"51195",USA,MINIMUM,-82.463006,36.916628,0.900000000000000,0.160000000000000,4338.000000000000000,"1","0","8",5.000000000000000,"1","1",6.473958338300388,"0",6.500000000000000,
"2042","10001960",CENTRAL NM CORRECTIONAL FACILITY / MAIN / LEVEL II UNIT,1525 MORRIS RD,LOS LUNAS,NM,"87031","-999",(505) 383-3359,STATE,OPEN,"955",VALENCIA,"35061",USA,MAXIMUM,-106.766266,34.787738,0.490000000000000,0.010000000000000,7167.000000000000000,"0","0","0",0.000000000000000,"0","0",4.961904764175416,"0",5.400000095367430,
"2080","10000751",MARCY CORRECTIONAL FACILITY,9000 OLD RIVER RD,MARCY,NY,"13403","5000",(315) 768-1400,STATE,OPEN,"1148",ONEIDA,"36065",USA,MEDIUM,-75.312386,43.163974,0.000000000000000,0.060000000000000,2328.000000000000000,"0","0","2",2.000000000000000,"0","0",5.275000095367432,"0",5.300000190734860,
"2081","10000759",LAKEVIEW SHOCK INCARCERATION CORRECTIONAL FACILITY,9300 LAKE AVE,BROCTON,NY,"14716","9798",(716) 792-7100,STATE,OPEN,"660",CHAUTAUQUA,"36013",USA,MINIMUM,-79.434568,42.407952,0.750000000000000,0.210000000000000,4649.000000000000000,"0","0","1",1.000000000000000,"0","0",5.900000034679066,"0",6.366666793823240,
"2088","10000378",JEFFERSON CORRECTIONAL INSTITUTION,1050 BIG JOE RD,MONTICELLO,FL,"32344","0430",(850) 342-2600,STATE,OPEN,"1091",JEFFERSON,"12065",USA,CLOSE,-83.801576,30.509736,0.730000000000000,0.310000000000000,5920.000000000000000,"0","0","2",2.000000000000000,"0","0",6.814457835921322,"0",6.799999952316280,
"2090","10002098",MASSACHUSETTS TREATMENT CENTER,30 ADMINISTRATION RD,BRIDGEWATER,MA,"02324","-999",(508) 279-8100,STATE,OPEN,"499",PLYMOUTH,"25023",USA,MEDIUM,-70.957410,41.946020,0.940000000000000,0.110000000000000,1610.000000000000000,"1","0","0",0.000000000000000,"1","0",5.719999980926514,"0",5.800000190734860,
"2091","10003787","CENTRAL NM CORRECTIONAL FACILITY, LEVEL I UNIT",3201 HIGHWAY 314 SW,LOS LUNAS,NM,"87031","-999",(505) 865-2728,STATE,OPEN,"350",VALENCIA,"35061",USA,MINIMUM,-106.750980,34.770150,0.490000000000000,0.010000000000000,7167.000000000000000,"0","0","0",0.000000000000000,"0","0",4.961904764175416,"0",5.124999880790710,
"2092","10003769",SPRINGER CORRECTIONAL CENTER,201 ROAD HWY 468,SPRINGER,NM,"87747","-999",(575) 483-3100,STATE,OPEN,"271",COLFAX,"35007",USA,MINIMUM,-104.626328,36.386992,0.960000000000000,0.000000000000000,5161.000000000000000,"1","0","5",3.000000000000000,"1","1",3.424725007353266,"0",3.500000000000000,
"2096","10003795","SOUTHERN NM CORRECTIONAL FACILITY, LEVEL III UNIT",1983 JOE R SILVA BLVD,LAS CRUCES,NM,"88004","0639",(575) 523-3200,STATE,OPEN,"440",DONA ANA,"35013",USA,MAXIMUM,-106.951674,32.249584,0.180000000000000,0.020000000000000,6601.000000000000000,"0","0","0",0.000000000000000,"0","1",4.893390054478072,"0",4.649999856948850,
"2100","10001249",ROSWELL CORRECTIONAL CENTER,578 W CHICKASAW RD,HAGERMAN,NM,"88232","-999",(575) 625-3100,STATE,OPEN,"339",CHAVES,"35005",USA,MINIMUM,-104.543214,33.140742,0.660000000000000,0.070000000000000,3073.000000000000000,"0","0","0",0.000000000000000,"0","0",4.253093808472990,"0",4.300000190734860,
"2104","10000676",GREENE COUNTY WORK CAMP,UNITED STATES HIGHWAY 67 SOUTH,ROODHOUSE,IL,"62082","-999",(217) 374-2177,STATE,OPEN,"125",GREENE,"17061",USA,MINIMUM,-90.385978,39.461622,0.930000000000000,0.600000000000000,3422.000000000000000,"1","0","0",0.000000000000000,"1","1",7.722000039418538,"0",7.800000190734860,
"2114","10004446",FMC DEVENS,42 PATTON ROAD,DEVENS,MA,"01434","-999",(978) 796-1000,FEDERAL,OPEN,"999",WORCESTER,"25027",USA,MAXIMUM,-71.620681,42.525389,0.460000000000000,0.050000000000000,6569.000000000000000,"0","0","0",0.000000000000000,"0","1",5.314102582442454,"0",5.400000095367430,
"2115","10006307",CAI - OCEAN VIEW,551 SOUTH 35TH STREET,SAN DIEGO,CA,"92113","-999",(619) 232-8600,MULTI,OPEN,"-999",SAN DIEGO,"06073",USA,MINIMUM,-117.118029,32.700253,0.570000000000000,0.850000000000000,4754.000000000000000,"0","0","7",4.000000000000000,"0","1",9.650475027602628,"1",9.750000000000000,washuonly
"2120","10000192",CI REEVES COUNTY I & II,98 W COUNTY RD 204,PECOS,TX,"79772","-999",(432) 447-2926,MULTI,OPEN,"1255",REEVES,"48389",USA,MINIMUM,-103.538558,31.394342,0.920000000000000,0.090000000000000,4295.000000000000000,"1","0","1",1.000000000000000,"1","1",5.832447401629730,"0",8.349999904632570,
"2122","10003781",NORTHWEST NEW MEXICO CORRECTIONAL CENTER,1700 EAST OLD HIGHWAY 66,GRANTS,NM,"87020","-999",(505) 287-2941,STATE,OPEN,"-999",CIBOLA,"35006",USA,MAXIMUM,-107.816947,35.140787,0.720000000000000,0.000000000000000,5413.000000000000000,"0","0","6",4.000000000000000,"0","1",4.786206919571450,"0",4.950000047683720,
"2123","10001246",GUADALUPE COUNTY CORRECTIONAL FACILITY,SOUTH HWY 54,SANTA ROSA,NM,"88435","-999",(575) 472-1001,STATE,OPEN,"588",GUADALUPE,"35019",USA,CLOSE,-104.702851,34.907872,0.990000000000000,0.000000000000000,4353.000000000000000,"1","0","2",1.000000000000000,"1","0",2.851232666233349,"0",3.099999904632570,
"2135","10006612",NEW MEXICO BEHAVIORAL HEALTH INSTITUTE - FORENSIC DIVISION,3695 HOT SPRINGS BLVD,LAS VEGAS,NM,"87701","-999",(505) 454-2100,STATE,OPEN,"-999",SAN MIGUEL,"35047",USA,MAXIMUM,-105.242180,35.608171,0.750000000000000,0.000000000000000,4355.000000000000000,"0","0","4",2.000000000000000,"0","0",3.354545463215221,"0",3.299999952316280,
"2137","10001279",FPC BRYAN,1100 URSULINE AVE,BRYAN,TX,"77803","-999",(979) 823-1879,FEDERAL,OPEN,"897",BRAZOS,"48041",USA,MINIMUM,-96.360594,30.678573,0.720000000000000,0.770000000000000,5081.000000000000000,"0","0","2",2.000000000000000,"0","0",6.866666793823242,"0",6.833333492279050,
"2141","10001401",LEMUEL SHATTUCK HOSPITAL CORRECTIONAL UNIT,180 MORTON ST,JAMAICA PLAIN,MA,"02130","-999",(617) 522-7585,STATE,OPEN,"19",SUFFOLK,"25025",USA,MEDIUM,-71.102979,42.300367,,0.280000000000000,380.000000000000000,"0","0","7",3.000000000000000,"0","0",6.300000031789144,"0",6.350000143051150,
"2142","10001408",MCI - CEDAR JUNCTION,2405 MAIN ST,SOUTH WALPOLE,MA,"02071","-999",(508) 660-8000,STATE,OPEN,"711",NORFOLK,"25021",USA,MAXIMUM,-71.289797,42.106256,0.410000000000000,0.180000000000000,4018.000000000000000,"0","0","0",0.000000000000000,"0","1",5.747058784260470,"0",5.900000095367430,
"2143","10004444",MCI - FRAMINGHAM,99 LORING DRIVE,FRAMINGHAM,MA,"01701","-999",(508) 532-5100,STATE,OPEN,"478",MIDDLESEX,"25017",USA,MEDIUM,-71.407419,42.267513,0.750000000000000,0.150000000000000,3557.000000000000000,"0","0","5",4.000000000000000,"0","1",6.166666507720948,"0",6.099999904632570,
"2146","10002101",MCI - NORFOLK,2 CLARK ST,NORFOLK,MA,"02056","-999",(508) 660-5900,STATE,OPEN,"1417",NORFOLK,"25021",USA,MEDIUM,-71.304171,42.119129,0.410000000000000,0.180000000000000,6260.000000000000000,"0","0","0",0.000000000000000,"0","0",5.760000000000000,"0",5.699999809265140,
"2150","10001393",MCI - SHIRLEY,1 HARVARD RD,SHIRLEY,MA,"01464","-999",(978) 425-4341,STATE,OPEN,"1476",MIDDLESEX,"25017",USA,MEDIUM,-71.644786,42.527775,0.720000000000000,0.030000000000000,7633.000000000000000,"0","0","0",0.000000000000000,"0","0",5.214285680225918,"0",5.450000047683720,
"2151","10006576",WATCH WEST,P.O. BOX G,WARM SPRINGS,MT,"59756","-999",(406) 693-2272,STATE,OPEN,"113",DEER LODGE,"30023",USA,NOT AVAILABLE,-112.794995,46.180457,0.830000000000000,0.010000000000000,3226.000000000000000,"0","0","0",0.000000000000000,"0","1",4.211022841184591,"0",4.800000190734860,
"2153","10004449",NORTH CENTRAL CORRECTIONAL INSTITUTION,500 COLONY ROAD,GARDNER,MA,"01440","-999",(978) 630-6000,STATE,OPEN,"959",WORCESTER,"25027",USA,MEDIUM,-71.941630,42.579791,0.680000000000000,0.010000000000000,5778.000000000000000,"0","0","0",0.000000000000000,"0","0",4.920000049046108,"0",4.875000119209290,
"2154","10001392",NORTHEASTERN CORRECTIONAL INSTITUTION,1 BARRETTS MILL RD,WEST CONCORD,MA,"01742","-999",(978) 371-7941,STATE,OPEN,"193",MIDDLESEX,"25017",USA,MINIMUM,-71.397968,42.472263,0.270000000000000,0.110000000000000,6167.000000000000000,"0","0","0",0.000000000000000,"0","1",5.537837853302828,"0",5.350000143051150,
"2160","10004451",OLD COLONY CORRECTIONAL CENTER,1 ADMINISTRATION ROAD,BRIDGEWATER,MA,"02324","-999",(508) 279-6000,STATE,OPEN,"702",PLYMOUTH,"25023",USA,MEDIUM,-70.955581,41.949287,0.940000000000000,0.110000000000000,1610.000000000000000,"1","0","0",0.000000000000000,"1","0",5.719999980926514,"0",5.800000190734860,
"2161","10000282",PONDVILLE CORRECTIONAL CENTER,1 INDUSTRIES DR,NORFOLK,MA,"02056","-999",(508) 660-3924,STATE,OPEN,"150",NORFOLK,"25021",USA,MINIMUM,-71.293026,42.108442,0.410000000000000,0.180000000000000,6260.000000000000000,"0","0","0",0.000000000000000,"0","0",5.760000000000000,"0",5.900000095367430,
"2162","10004443",SOUTH MIDDLESEX CORRECTIONAL CENTER,135 WESTERN AVENUE,FRAMINGHAM,MA,"01701","-999",(508) 875-2883,STATE,OPEN,"112",MIDDLESEX,"25017",USA,MINIMUM,-71.405921,42.265275,0.750000000000000,0.150000000000000,3557.000000000000000,"0","0","5",4.000000000000000,"0","1",6.166666507720948,"0",6.099999904632570,
"2164","10001396",SOUZA-BARANOWSKI CORRECTIONAL CENTER,1 HARVARD RD,SHIRLEY,MA,"01464","-999",(978) 514-6500,STATE,OPEN,"1075",WORCESTER,"25027",USA,MAXIMUM,-71.648059,42.523398,0.630000000000000,0.040000000000000,8044.000000000000000,"0","0","0",0.000000000000000,"0","0",5.301219504054000,"0",5.500000000000000,
"2180","10002222",COLORADO CORRECTION INC 3905 RESIDENTIAL FACILTY,3950 NORTH NEVADA AVENUE,COLORADO SPRINGS,CO,"80907","-999",(719) 636-5200,NOT AVAILABLE,OPEN,"-999",EL PASO,"08041",USA,MINIMUM,-104.819966,38.890453,0.410000000000000,0.050000000000000,5021.000000000000000,"0","0","3",3.000000000000000,"0","0",4.771428653172086,"0",4.800000190734860,
"2234","10003201",WOODBOURNE CORRECTIONAL FACILITY,99 PRISON RD,WOODBOURNE,NY,"12788","1000",(845) 434-7730,STATE,OPEN,"798",SULLIVAN,"36105",USA,MEDIUM,-74.592222,41.753305,0.970000000000000,0.090000000000000,3139.000000000000000,"1","0","0",0.000000000000000,"1","0",5.681538435129020,"0",5.800000190734860,
"2247","10000165",FMC CARSWELL,"NAVAL AIR STATION, J ST",FORT WORTH,TX,"76127","-999",(817) 782-4000,FEDERAL,OPEN,"1227",TARRANT,"48439",USA,MAXIMUM,-97.418736,32.784091,0.590000000000000,0.730000000000000,3752.000000000000000,"0","0","1",1.000000000000000,"0","1",7.861538446866550,"0",7.700000047683720,
"2252","10003601",NORTH DAKOTA STATE PENITENTIARY,3100 RAILROAD AVE,BISMARCK,ND,"58506","5521",(701) 328-6100,STATE,OPEN,"753",BURLEIGH,"38015",USA,MAXIMUM,-100.741540,46.799967,0.150000000000000,0.130000000000000,4732.000000000000000,"0","0","0",0.000000000000000,"0","0",4.800000031789144,"0",4.975000023841860,
"2253","10003603",JAMES RIVER CORRECTIONAL CENTER,2521 CIRCLE DR,JAMESTOWN,ND,"58401","-999",(701) 253-3660,STATE,OPEN,"439",STUTSMAN,"38093",USA,MAXIMUM,-98.685070,46.883229,0.010000000000000,0.080000000000000,2630.000000000000000,"0","0","0",0.000000000000000,"0","1",4.738461586145254,"0",4.800000190734860,
"2254","10003602",MISSOURI RIVER CORRECTIONAL CENTER,1800 48TH AVE SW,BISMARCK,ND,"58506","-999",(701) 328-9696,STATE,OPEN,"187",BURLEIGH,"38015",USA,MINIMUM,-100.822781,46.753788,0.150000000000000,0.090000000000000,7662.000000000000000,"0","0","0",0.000000000000000,"0","0",4.798750054836274,"0",4.800000190734860,
"2255","10006587",BISMARCK TRANSITION CENTER,2001 LEE AVENUE,BISMARCK,ND,"58504","-999",(701) 222-3440,STATE,OPEN,"83",BURLEIGH,"38015",USA,MINIMUM,-100.760541,46.791539,0.380000000000000,0.120000000000000,3914.000000000000000,"0","0","0",0.000000000000000,"0","0",5.074999928474426,"0",5.199999809265140,
