,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area,geometry
1353,1354,10002347,CALIPATRIA STATE PRISON (CAL),7018 BLAIR ROAD,CALIPATRIA,CA,92233,-999,(760) 348-7000,STATE,OPEN,3711.0,IMPERIAL,06025,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Population_Reports.html,2017-10-18 00:00:00+00:00,IMAGERY/OTHER,2019-11-25 00:00:00+00:00,http://www.cdcr.ca.gov/Facilities_Locator/,MAXIMUM,2308.0,0.0315825975595,{AA72B12F-FC8C-40D2-B7FB-68C5F99CB1D9},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.03158259755948606,4.4060500543e-05,POINT (-115.48434398907794 33.16569338470663)
1354,1355,10001761,FCI BUTNER MEDIUM II,OLD N CAROLINA HWY 75,BUTNER,NC,27509,-999,(919) 575-8000,FEDERAL,OPEN,1549.0,GRANVILLE,37077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/btf/,2016-02-16 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.bop.gov/locations/institutions/btf/,MEDIUM,1151.0,0.0168537418771,{23D333CD-A22E-4A25-802B-E2C13C5173E7},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.016853741877078714,1.80647882128e-05,POINT (-78.80600721547232 36.14649813563461)
1357,1358,10001826,LEAVENWORTH DETENTION CENTER,100 HWY TERRACE,LEAVENWORTH,KS,66048,-999,(913) 727-3246,FEDERAL,OPEN,1100.0,LEAVENWORTH,20103,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.corecivic.com/facilities/leavenworth-detention-center,2017-10-03 00:00:00+00:00,IMAGERY/OTHER,2019-12-11 00:00:00+00:00,http://www.corecivic.com/facilities/leavenworth-detention-center,MAXIMUM,1033.0,0.00770574630102,{8D7F4948-54CF-4A01-BF72-EBD293CC1EFA},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.007705746301020239,3.55680082683e-06,POINT (-94.89210831225213 39.27229115191108)
1360,1361,10001023,ALEXANDER CORRECTIONAL INSTITUTION,633 OLD LANDFILL RD,TAYLORSVILLE,NC,28681,-999,(828) 632-1331,STATE,OPEN,1180.0,ALEXANDER,37003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Alexander-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities,CLOSE,1180.0,0.0174076171778,{5B13B789-ED10-47BE-AA48-DA68814121D5},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01740761717781899,1.11571484467e-05,POINT (-81.1767274788355 35.88442972162631)
1363,1364,10001759,BERTIE CORRECTIONAL INSTITUTION,218 COOPER HILL RD,WINDSOR,NC,27983,-999,(252) 794-8600,STATE,OPEN,1504.0,BERTIE,37015,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Bertie-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Bertie-Correctional-Institution,CLOSE,1504.0,0.0125473763221,{6077A714-DBED-420D-8D2C-044D730C4E00},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01254737632205305,9.79962755799e-06,POINT (-76.90859254297776 35.96925230293726)
1366,1367,10004216,CARTERET CORRECTIONAL CENTER,1084 ORANGE ST,NEWPORT,NC,28570,-999,(252) 223-5100,STATE,OPEN,300.0,CARTERET,37031,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Carteret-Correctional-Center,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Carteret-Correctional-Center,MINIMUM,300.0,0.00710507264064,{86075F2F-DE1E-42B8-A8BF-59C2F5FBF6D6},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.007105072640639112,2.36444779325e-06,POINT (-76.84531101301471 34.78213567570024)
1370,1371,10004177,DAVIDSON CORRECTIONAL CENTER,1400 THOMASON ST,LEXINGTON,NC,27292,-999,(336) 249-7528,STATE,OPEN,258.0,DAVIDSON,37057,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Davidson-Correctional-Center,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Davidson-Correctional-Center,MINIMUM,258.0,0.00569979067655,{2FD02852-D8EA-4CB4-B15C-084DAA85DA2E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.005699790676545069,1.59107638331e-06,POINT (-80.23118631162197 35.81521233625114)
1372,1373,10004219,MORRISON CORRECTIONAL INSTITUTION,1573 MCDONALD CHURCH RD,HOFFMAN,NC,28347,-999,(910) 281-3161,STATE,OPEN,739.0,RICHMOND,37153,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/adult-corrections/prisons/prison-facilities/morrison-correctional-institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/adult-corrections/prisons/prison-facilities/morrison-correctional-institution,MEDIUM,801.0,0.0279324948309,{8503184A-DB97-45B7-9BCB-0132BD657B98},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.027932494830874132,1.37496060352e-05,POINT (-79.60712744726376 35.021930537620186)
1373,1374,10001763,NASH CORRECTIONAL INSTITUTION,2869 US 64 ALT,NASHVILLE,NC,27856,-999,(252) 459-4455,STATE,OPEN,652.0,NASH,37127,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Nash-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Nash-Correctional-Institution,MEDIUM,654.0,0.0144915959842,{0A42C771-9735-4FBF-B0BA-1372A12C96D1},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.014491595984216286,1.24123020942e-05,POINT (-78.01514843682294 35.96910420519894)
1377,1378,10001801,NEW HANOVER CORRECTIONAL CENTER,330 DIVISION DR,WILMINGTON,NC,28402,-999,(910) 251-2666,STATE,OPEN,387.0,NEW HANOVER,37129,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/New-Hanover-Correctional-Center,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/New-Hanover-Correctional-Center,MINIMUM,384.0,0.00803788601238,{FE517264-5A26-4DFA-8DE4-4A3EEC5DCB9E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.008037886012378058,3.41922536136e-06,POINT (-77.92266865762123 34.26648744667496)
1380,1381,10001552,BALTIMORE CITY CORRECTIONAL CENTER,901 GREENMOUNT AVE,BALTIMORE,MD,21202,-999,(410) 332-4340,STATE,OPEN,503.0,BALTIMORE (CITY),24510,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/locations/bccc.shtml,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.maryland.gov/locations/prisons.shtml,MINIMUM,495.0,0.00499080908065,{20A6BE79-7BB7-46C5-844B-54AE75D7AF73},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.004990809080649548,1.00528685049e-06,POINT (-76.60646180569344 39.300131662106395)
1382,1383,10004173,NORTH CAROLINA CORRECTIONAL INSTITUTION FOR WOMEN,1034 BRAGG ST,RALEIGH,NC,27610,-999,(919) 733-4340,STATE,OPEN,1646.0,WAKE,37183,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/NC-Correctional-Institution-for-Women,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/NC-Correctional-Institution-for-Women,CLOSE,1776.0,0.0207493782114,{F64ADD8C-D0E1-4BE2-AE9B-18368F2C7609},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.020749378211374875,1.24518619453e-05,POINT (-78.62096416570411 35.764705979105734)
1383,1384,10004165,ORANGE CORRECTIONAL CENTER,2110 CLARENCE WALTERS RD,HILLSBOROUGH,NC,27278,-999,(919) 732-9301,STATE,OPEN,198.0,ORANGE,37135,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Orange-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Orange-Correctional-Institution,MINIMUM,200.0,0.00788297314254,{B0F1658D-9EF7-47FE-BEAD-6D815E1B3801},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.007882973142543064,1.9004160161e-06,POINT (-79.10118382895001 36.05345197719291)
1384,1385,10001788,PAMLICO CORRECTIONAL INSTITUTION,601 N THIRD ST,BAYBORO,NC,28515,-999,(252) 745-3074,STATE,OPEN,561.0,PAMLICO,37137,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pamlico-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pamlico-Correctional-Institution,MEDIUM,550.0,0.00886318160598,{E5E4084B-2354-453C-A32C-022F1315D926},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.008863181605982914,5.12880315333e-06,POINT (-76.77080712289185 35.16043587003617)
1386,1387,10004035,METROPOLITAN TRANSITION CENTER,954 FORREST ST,BALTIMORE,MD,21202,-999,(410) 230-1452,STATE,OPEN,202.0,BALTIMORE (CITY),24510,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/locations/mtc.shtml,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.maryland.gov/locations/prisons.shtml,MINIMUM,580.0,0.00869568915224,{54641D80-10BB-41BB-AA73-6B48FECD6F52},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.008695689152238586,3.29495586849e-06,POINT (-76.60856614393674 39.30006162431134)
1389,1390,10001558,BROCKBRIDGE CORRECTIONAL FACILITY,7930 BROCK BRIDGE RD,JESSUP,MD,20794,-999,(410) 799-1363,STATE,OPEN,660.0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.state.md.us/locations/bcf.shtml,MINIMUM,536.0,0.00760585842012,{0E575389-57A8-4282-ACDB-7B04633DBFB6},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.007605858420120905,3.76627389051e-06,POINT (-76.7746375943931 39.135193186924944)
1390,1391,10001752,PASQUOTANK CORRECTIONAL INSTITUTION,527 COMMERCE DR,ELIZABETH CITY,NC,27906,-999,(252) 331-4881,STATE,OPEN,679.0,PASQUOTANK,37139,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pasquotank-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pasquotank-Correctional-Institution,CLOSE,896.0,0.012286551474,{4F2223E2-41BE-455F-B211-D99B1C79C60E},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01228655147402468,9.69897065503e-06,POINT (-76.31073875402643 36.36067354096916)
1397,1398,10000053,WYOMING HONOR CONSERVATION CAMP AND BOOT CAMP,40 PIPPIN RD,NEWCASTLE,WY,82701,-999,(307) 746-4436,STATE,OPEN,296.0,WESTON,56045,USA,922140,CORRECTIONAL INSTITUTIONS,http://corrections.wyo.gov/home/institutions/whcc,2017-06-27 00:00:00+00:00,IMAGERY/OTHER,2020-03-03 00:00:00+00:00,http://corrections.wyo.gov/home/institutions/whcc,CLOSE,311.0,0.0132544126786,{F07FCEA4-DF9C-46DE-856B-38BFCD686C18},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01325441267859583,8.14597205463e-06,POINT (-104.18679011664926 43.8773716407561)
1398,1399,10002359,CENTRAL MARYLAND CORRECTIONAL FACILITY,7301 BUTTERCUP RD,SYKESVILLE,MD,21784,-999,(410) 781-4444,STATE,OPEN,497.0,CARROLL,24013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dpscs.state.md.us/locations/cmcf.shtml,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.state.md.us/locations/cmcf.shtml,MINIMUM,475.0,0.0103624053661,{3713E868-1119-47EF-9DDE-DA9D617639AC},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.010362405366103082,5.65859654167e-06,POINT (-76.95568994403499 39.3725144996962)
1400,1401,10003759,WILDWOOD CORRECTIONAL CENTER,10 CHUGACH AVENUE,KENAI,AK,99611,7098,(907) 260-7200,STATE,OPEN,275.0,KENAI PENINSULA,02122,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.correct.state.ak.us/administrative-services/research-records, http://www.correct.state.ak.us/institutions",2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-11-06 00:00:00+00:00,http://www.correct.state.ak.us/institutions,MEDIUM,264.0,0.00354992980876,{DF33FA63-E067-4811-8856-9F8B430018D1},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.0035499298087585144,3.95081330629e-07,POINT (-151.3005663091825 60.584665224453396)
1402,1403,10001753,PASQUOTANK C.I. MINIMUM SECURITY UNIT,527 COMMERCE DR,ELIZABETH CITY,NC,27906,-999,(252) 331-4881,STATE,OPEN,-999.0,PASQUOTANK,37139,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pasquotank-Correctional-Institution,2017-12-12 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pasquotank-Correctional-Institution,MINIMUM,256.0,0.00438000580411,{46CB800F-C623-4992-A5BC-9EAAED975C31},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.004380005804112494,1.0770497772e-06,POINT (-76.31247502202379 36.356858787889685)
1403,1404,10002364,PATUXENT INSTITUTION,7555 WATERLOO RD,JESSUP,MD,20794,-999,(410) 799-3400,STATE,OPEN,915.0,HOWARD,24027,USA,922140,CORRECTIONAL INSTITUTIONS,"http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc, http://dpscs.maryland.gov/publicinfo/publications/pdfs/pax_annual_report_2013.pdf",2014-04-01 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.state.md.us/locations/pat.shtml,MAXIMUM,1113.0,0.0152773995656,{EB86F19C-1308-420E-8C14-6F6F4EBBC475},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.015277399565570223,1.28527973504e-05,POINT (-76.77807230866706 39.16463645716661)
1410,1411,10006353,DORSEY RUN CORRECTIONAL FACILITY,2020 TOULSON ROAD,JESSUP,MD,20794,-999,(410) 379-6020,STATE,OPEN,553.0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,https://www.dpscs.state.md.us/locations/drc.shtml,MINIMUM,480.0,0.00843795859393,{22C3CB63-F008-46E0-A574-7F0AE3329DD0},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.008437958593933833,3.246025733e-06,POINT (-76.77775089104716 39.139029989735576)
1411,1412,10004226,PENDER CORRECTIONAL INSTITUTION,906 PENDERLEA HWY,BURGAW,NC,28425,-999,(910) 259-8735,STATE,OPEN,747.0,PENDER,37141,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pender-Correctional-Center,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Pender-Correctional-Center,MEDIUM,768.0,0.0141988314925,{14013133-1864-46B1-A566-0DE08C71D90B},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.014198831492525854,8.79068401952e-06,POINT (-77.93711186752185 34.554710948799666)
1413,1414,10004183,PIEDMONT CORRECTIONAL INSTITUTION,1245 CAMP RD,SALISBURY,NC,28147,-999,(704) 639-7540,STATE,OPEN,961.0,ROWAN,37159,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Piedmont-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Piedmont-Correctional-Institution,MEDIUM,952.0,0.0116261206325,{5323AD4A-E8CA-41C0-9ABB-14F4D2237B55},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.011626120632487557,6.46375218828e-06,POINT (-80.54507820396182 35.62127907000874)
1416,1417,10001569,EASTERN CORRECTIONAL INSTITUTION,30420 REVELLS NECK RD,WESTOVER,MD,21890,-999,(410) 845-4000,STATE,OPEN,2604.0,SOMERSET,24039,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://dpscs.maryland.gov/locations/eci.shtml,MEDIUM,3310.0,0.0194442149951,{EDA87B3E-5ED2-48E0-BBAE-40A4D5ACB8C0},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01944421499512806,2.14857636635e-05,POINT (-75.70440049507843 38.15738518773844)
1417,1418,10001570,EASTERN CORRECTIONAL INSTITUTION - ANNEX,30420 REVELLS NECK RD,WESTOVER,MD,21890,-999,(410) 845-4000,STATE,OPEN,597.0,SOMERSET,24039,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://dpscs.maryland.gov/locations/eci_annex.shtml,MINIMUM,608.0,0.0112994478228,{8722F517-93FE-4809-8987-2DE791FB6A50},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.011299447822782737,6.77263102056e-06,POINT (-75.69525176252485 38.157098615240905)
1418,1419,10001556,EASTERN PRE-RELEASE UNIT,700 FLAT IRON SQUARE RD,CHURCH HILL,MD,21623,-999,(410) 810-5400,STATE,OPEN,180.0,QUEEN ANNE'S,24035,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.state.md.us/locations/epru.shtml,MINIMUM,165.0,0.00463654077262,{17A2860E-7EE4-40D9-97AA-0742E9B5F98D},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.004636540772624461,3.12233167598e-07,POINT (-75.98589281531412 39.11373269158666)
1420,1421,10001553,CENTRAL HOME DETENTION UNIT,2100 GUILFORD AVE,BALTIMORE,MD,21218,-999,(443) 263-3800,STATE,OPEN,192.0,BALTIMORE (CITY),24510,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://dpscs.maryland.gov/locations/chdu.shtml,NOT AVAILABLE,-999.0,0.00271532248938,{1C3B3CF0-03F9-4D0E-A8F2-46E30D7828EB},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.002715322489378523,3.19275237138e-07,POINT (-76.61297470054055 39.3138905940404)
1421,1422,10000919,JESSUP CORRECTIONAL INSTITUTION,"P O BOX 534, HOUSE OF CORRECTION RD",JESSUP,MD,20794,-999,(410) 799-6100,STATE,OPEN,1619.0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://dpscs.maryland.gov/locations/jci.shtml,MAXIMUM,1750.0,0.0178892438438,{FE17EAA1-6638-41DB-9348-619214EB97E2},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.017889243843777308,1.44769458225e-05,POINT (-76.77664402103787 39.14409688821568)
1422,1423,10001557,JESSUP PRE-RELEASE UNIT,2000 TOULSON RD,JESSUP,MD,20794,-999,(410) 540-2700,STATE,OPEN,0.0,ANNE ARUNDEL,24003,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.dpscs.maryland.gov/locations/jpru.shtml,2014-04-01 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://www.dpscs.maryland.gov/locations/jpru.shtml,MINIMUM,596.0,0.0061658990468,{C4551BBA-F0CE-424F-A6ED-01A4E035C830},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.006165899046796396,1.87915634026e-06,POINT (-76.77670563622515 39.13764977049496)
1423,1424,10001747,POLK CORRECTIONAL INSTITUTION,1001 VEAZEY RD,BUTNER,NC,27509,-999,(919) 575-3070,STATE,OPEN,877.0,GRANVILLE,37077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Polk-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Polk-Correctional-Institution,CLOSE,904.0,0.0118091580643,{08707D0D-B5C2-4747-B3D0-FD3C15BA99BB},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.011809158064276326,9.53527766869e-06,POINT (-78.78554777001214 36.1358159892296)
1429,1430,10004213,SAMPSON CORRECTIONAL INSTITUTION,700 NORTHWEST BLVD HWY 421N,CLINTON,NC,28328,-999,(910) 592-2151,STATE,OPEN,458.0,SAMPSON,37163,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Sampson-Correctional-Institution,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Sampson-Correctional-Institution,MEDIUM,452.0,0.0144900263248,{8BB0A9F1-99CF-40A8-B8ED-50E5C956ACA1},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.014490026324751572,4.41088228516e-06,POINT (-78.34089616106455 35.01274206034672)
1432,1433,10001777,SANFORD CORRECTIONAL CENTER,417 ADVANCEMENT CENTER RD,SANFORD,NC,27330,-999,(919) 776-4325,STATE,OPEN,295.0,LEE,37105,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Sanford-Correctional-Center,2017-10-31 00:00:00+00:00,IMAGERY/OTHER,2020-02-13 00:00:00+00:00,https://www.ncdps.gov/Adult-Corrections/Prisons/Prison-Facilities/Sanford-Correctional-Center,MINIMUM,298.0,0.00644299356124,{9D42EF11-6951-408F-9265-E640C5AEC06C},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.006442993561243859,2.36351834239e-06,POINT (-79.15937890115066 35.47263409914933)
1438,1439,10001548,MARYLAND CORRECTIONAL INSTITUTION - HAGERSTOWN,18601 ROXBURY RD,HAGERSTOWN,MD,21746,-999,(240) 420-1000,STATE,OPEN,1913.0,WASHINGTON,24043,USA,922140,CORRECTIONAL INSTITUTIONS,http://dpscs.maryland.gov/publicinfo/publications/annuals.shtml#doc,2016-06-30 00:00:00+00:00,IMAGERY/OTHER,2019-12-16 00:00:00+00:00,http://dpscs.maryland.gov/locations/mcih.shtml,MEDIUM,1800.0,0.0194191374101,{46BDC384-EF23-426E-B7C2-DEBF098DD41A},2022-01-07 15:27:25+00:00,HostedByHIFLD,2022-01-07 15:27:25+00:00,HostedByHIFLD,0.01941913741007482,1.70519354058e-05,POINT (-77.72254317744118 39.560950324475726)
